ID	E_pub	dE_pub	E_calc	dE_calc	DistPlateBoundary
865	147	15	163.682648	19.746838	58309.5
866	239	28	266.169586	32.385316	58309.5
1178	136	53	155.038712	56.14365	82462.1
1179	123	49	140.006668	49.48589	82462.1
1180	125	50	140.25827	51.527477	92195.4
1181	152	76	169.723846	79.395657	92195.4
1182	134	5.5	151.555847	54.962532	92195.4
1183	139	57	156.819016	60.142372	85440
1184	105	44	113.108566	43.791954	92195.4
1185	169	94	180.982315	98.285706	92195.4
1186	62	16	65.819466	11.18024	92195.4
1187	122	32	137.752075	25.007228	101980
1188	132	42	153.558487	40.004304	101980
1189	139	56	146.437927	56.38269	101980
1190	118	37	138.308548	34.395812	92195.4
1191	255	176	300.410645	196.656236	92195.4
1192	79.39	7.2	86.551987	10.142588	976217
1193	102.04	8.79	110.85463	12.510234	977395
1194	68.53	5.98	74.514122	8.494832	977395
1195	103.46	11.07	112.034836	14.877463	977395
1196	112.24	11.17	121.493202	15.136253	977395
1197	124.93	27	135.157394	30.368314	977395
1198	210	20	225.8302	28.889825	10000
1199	220	20	233.974243	29.208274	0
1200	260	20	282.460907	33.493666	10000
1201	80	10	94.684433	13.083499	10000
1202	190	10	204.128311	24.701263	20000
1250	8.8	1.1	10.058504	1.092066	3181210
1251	7.9	1	8.944388	0.973923	3181210
1252	8.4	1.1	9.548332	1.05731	3181210
1253	5	0.7	5.444934	0.598856	3181210
1254	8.1	1.1	9.530853	1.083037	3171770
1255	8.3	1.1	9.767097	1.090508	3171770
1256	9	1.2	10.724971	1.188104	3171770
1257	6.6	0.9	7.574186	0.835072	3171770
1258	10.9	1.4	14.435708	1.583964	3171770
1259	11	1.4	14.651539	1.679232	3171770
1260	12.6	1.6	16.845818	1.832592	3171770
1261	9.3	1.2	12.149235	1.339023	3171770
1262	12.9	1.7	15.956875	1.812485	3171770
1263	12.3	1.6	15.24502	1.67917	3171770
1264	14.2	1.8	17.64748	1.983651	3171770
1265	13.7	1.8	17.088175	1.941572	3171770
1266	8.4	1.1	10.284389	1.145639	3171770
1267	19.6	2.5	23.953951	2.656458	3176480
1268	21.3	2.7	26.180944	2.918699	3176480
1269	20.9	2.7	25.557894	2.861556	3176480
1270	17.7	2.3	21.344204	2.366024	3176480
1271	10.6	1.4	12.532594	1.374607	3176480
1272	14.5	1.9	17.456919	1.963201	3176480
1273	18	2.3	21.956755	2.480835	3176480
1274	20.9	2.7	25.672018	2.852869	3176480
1275	8.3	1.1	9.408248	1.036781	3176480
1276	11.7	1.5	13.775943	1.551714	3000820
1277	13.2	1.7	15.618856	1.737701	3000820
1278	11.2	1.5	13.885721	1.575276	3018690
1279	37.6	4.8	48.20927	5.232743	3014230
1280	12.5	1.6	15.544425	1.716498	3018690
1281	13.4	1.7	15.777369	1.728618	3009870
1282	10.4	1.3	12.127062	1.296788	3014430
1283	26.5	3.4	33.162975	3.694097	3023330
1284	23.2	3	28.943724	3.325573	3032230
1285	18.2	2.3	22.561848	2.457878	3032230
1286	25.5	3.3	31.963789	3.672793	3032230
1287	22	3	27.221786	3.343445	3027690
1288	29	3.7	34.551941	3.815794	3009870
1289	7.6	1	8.617527	0.969452	3217110
1290	9.2	1.2	10.530914	1.190766	3217110
1291	8.9	1.2	10.149113	1.115013	3225910
1292	14.3	1.9	17.481869	1.963837	3230670
1293	6.5	0.9	7.236912	0.816505	3234720
1294	8.3	1.1	9.824409	1.209172	3238830
1295	27.6	3.6	34.71851	3.750405	3221180
1296	16.7	2.1	25.293083	2.78093	3212370
1299	14.7	1.9	30.977093	3.418436	3460920
1300	14.9	2	31.604612	3.52711	3460920
1301	16.7	2.2	35.543961	4.05456	3460920
1302	22.5	2.9	48.498219	5.42679	3460920
1303	4.1	0.6	7.481744	0.832671	3457430
1304	4.9	0.7	8.944978	1.026835	3457430
1305	5.4	0.7	9.990366	1.138619	3457430
1306	5.4	0.7	10.010367	1.095404	3457430
1307	5.7	0.7	8.95993	1.450446	3419850
1308	7.3	1	6.771971	1.2166	3419850
1309	8.5	1.1	5.689333	0.988566	3419850
1310	7.2	0.9	6.879204	1.182832	3419850
1311	12.3	1.6	4.202181	0.732432	3409780
1312	13.5	1.7	3.769764	0.660781	3409780
1313	12.1	1.6	4.282975	0.768553	3409780
1314	8.8	1.2	6.174278	1.094652	3409780
1315	5.1	0.7	3.852909	0.429471	3471140
1316	6.9	0.9	6.017513	0.657599	3457430
1317	14.8	1.9	13.447135	1.426578	3452320
1318	21.8	2.8	20.07593	2.117274	3457430
1319	8.2	1.1	7.178924	0.786948	3471140
1320	16.3	2.1	16.827429	1.85389	3466020
1321	17	2.2	15.844044	1.762812	3466020
